Project Nick,Project,BioSample_s,SRA_Sample_s,Run_s,LibrarySource_s,LibraryLayout_s,InsertSize_l,MBases_l,Sample_Name_s,Library_Name_s,cultivar_s,ReadGroup,,Leafly Name,Leafly URL,TEMP Sortable
Phylos 2016,SRP092005,SAMN05938042,SRS1758397,SRR4448658,GENOMIC,PAIRED,0,73,d8c4507a881f-TSCA_9_mile,d8c4507a881f-TSCA,9_mile,1,,,,9_mile
Phylos 2016,SRP092005,SAMN05937613,SRS1760352,SRR4451189,GENOMIC,PAIRED,0,572,bc42fc72e3e7-TSCA_A_Charlot's_Web,bc42fc72e3e7-TSCA,A_Charlot's_Web,1,,Charlotte's Web,https://www.leafly.com/sativa/charlottes-web,Charlotte's Web
Phylos 2016,SRP092005,SAMN05937853,SRS1758101,SRR4448362,GENOMIC,PAIRED,0,88,5b8a2faf8b7f-TSCA_AC/DC,5b8a2faf8b7f-TSCA,AC/DC,1,,ACDC,https://www.leafly.com/hybrid/acdc,ACDC
Phylos 2016,SRP092005,SAMN05937944,SRS1758206,SRR4448467,GENOMIC,PAIRED,0,543,83355751b4ad-TSCA_AC/DC,83355751b4ad-TSCA,AC/DC,1,,ACDC,https://www.leafly.com/hybrid/acdc,ACDC
Phylos 2016,SRP092005,SAMN05938125,SRS1758387,SRR4448648,GENOMIC,PAIRED,0,82,fea5c80f58e1-TSCA_AC/DC,fea5c80f58e1-TSCA,AC/DC,1,,ACDC,https://www.leafly.com/hybrid/acdc,ACDC
Phylos 2016,SRP092005,SAMN05937625,SRS1760277,SRR4451114,GENOMIC,PAIRED,0,218,c26650eb324f-TSCA_AC/DC,c26650eb324f-TSCA,AC/DC,1,,ACDC,https://www.leafly.com/hybrid/acdc,ACDC
Phylos 2016,SRP092005,SAMN05937635,SRS1760325,SRR4451162,GENOMIC,PAIRED,0,160,c8c6c6563193-TSCA_AC/DC,c8c6c6563193-TSCA,AC/DC,1,,ACDC,https://www.leafly.com/hybrid/acdc,ACDC
Phylos 2016,SRP092005,SAMN05937529,SRS1760334,SRR4451171,GENOMIC,PAIRED,0,93,087d00b5e68e-TSCA_AC/DC,087d00b5e68e-TSCA,AC/DC,1,,ACDC,https://www.leafly.com/hybrid/acdc,ACDC
Phylos 2016,SRP092005,SAMN05937601,SRS1760359,SRR4451196,GENOMIC,PAIRED,0,192,b638d7df03f4-TSCA_AC/DC,b638d7df03f4-TSCA,AC/DC,1,,ACDC,https://www.leafly.com/hybrid/acdc,ACDC
Phylos 2016,SRP092005,SAMN05938018,SRS1758198,SRR4448459,GENOMIC,PAIRED,0,50,9f31f4d52820-TSCA_AC/DC_x_finals,9f31f4d52820-TSCA,AC/DC_x_finals,1,,ACDC,https://www.leafly.com/hybrid/acdc,ACDC
Phylos 2016,SRP092005,SAMN05937909,SRS1758220,SRR4448481,GENOMIC,PAIRED,0,91,759816c8dc48-TSCA_Acapulco_Gold,759816c8dc48-TSCA,Acapulco_Gold,1,,Acapulco Gold,https://www.leafly.com/sativa/acapulco-gold,Acapulco Gold
Phylos 2016,SRP092005,SAMN05938078,SRS1758373,SRR4448634,GENOMIC,PAIRED,0,637,ed531792ffdf-TSCA_ACDC,ed531792ffdf-TSCA,ACDC,1,,ACDC,https://www.leafly.com/hybrid/acdc,ACDC
Phylos 2016,SRP092005,SAMN05938043,SRS1758396,SRR4448657,GENOMIC,PAIRED,0,125,d8e45035c85d-TSCA_ACDC,d8e45035c85d-TSCA,ACDC,1,,ACDC,https://www.leafly.com/hybrid/acdc,ACDC
Phylos 2016,SRP092005,SAMN05938050,SRS1758422,SRR4448683,GENOMIC,PAIRED,0,130,dac462d678ba-TSCA_ACDC,dac462d678ba-TSCA,ACDC,1,,ACDC,https://www.leafly.com/hybrid/acdc,ACDC
Phylos 2016,SRP092005,SAMN05937829,SRS1758063,SRR4448324,GENOMIC,PAIRED,0,85,51cb2613e51f-TSCA_Ace_of_Spades,51cb2613e51f-TSCA,Ace_of_Spades,1,,Ace of Spades,https://www.leafly.com/indica/ace-of-spades,Ace of Spades
Phylos 2016,SRP092005,SAMN05937918,SRS1758216,SRR4448477,GENOMIC,PAIRED,0,44,782a3c94822a-TSCA_Ace_of_Spades,782a3c94822a-TSCA,Ace_of_Spades,1,,Ace of Spades,https://www.leafly.com/indica/ace-of-spades,Ace of Spades
Phylos 2016,SRP092005,SAMN05939377,SRS1759439,SRR4450091,GENOMIC,PAIRED,0,215,PGT-13012_Ace_of_Spades,PGT-13012,Ace_of_Spades,1,,Ace of Spades,https://www.leafly.com/indica/ace-of-spades,Ace of Spades
Phylos 2016,SRP092005,SAMN05937542,SRS1760385,SRR4451221,GENOMIC,PAIRED,0,138,0d3e0e83ebaa-TSCA_Ace_of_Spades,0d3e0e83ebaa-TSCA,Ace_of_Spades,1,,Ace of Spades,https://www.leafly.com/indica/ace-of-spades,Ace of Spades
Phylos 2016,SRP092005,SAMN05937971,SRS1758163,SRR4448424,GENOMIC,PAIRED,0,229,8e7eccb889b5-TSCA_ADAK,8e7eccb889b5-TSCA,ADAK,1,,-,-,-
Phylos 2016,SRP092005,SAMN05937706,SRS1757989,SRR4448250,GENOMIC,PAIRED,0,146,20d0ed0ef267-TSCA_Afghan,20d0ed0ef267-TSCA,Afghan,1,,Afghani,https://www.leafly.com/indica/afghani,Afghani
Phylos 2016,SRP092005,SAMN05937839,SRS1758078,SRR4448339,GENOMIC,PAIRED,0,192,53859c4a066f-TSCA_Afghan,53859c4a066f-TSCA,Afghan,1,,Afghani,https://www.leafly.com/indica/afghani,Afghani
Phylos 2016,SRP092005,SAMN05937603,SRS1760363,SRR4451200,GENOMIC,PAIRED,0,124,b77f49da426f-TSCA_Afghan_#1/10,b77f49da426f-TSCA,Afghan_#1/10,1,,Afghan #1,https://cannasos.com/strains/hybrid/afghan-1,Afghan #1
Phylos 2016,SRP092005,SAMN05938044,SRS1758399,SRR4448660,GENOMIC,PAIRED,0,118,d9494534922f-TSCA_Afghan_Kush,d9494534922f-TSCA,Afghan_Kush,1,,Afghan Kush,https://www.leafly.com/indica/afghan-kush,Afghan Kush
Phylos 2016,SRP092005,SAMN05938278,SRS1758495,SRR4448756,GENOMIC,PAIRED,0,156,CRT-1692_Afghani_#1_x_Skunk_#1,CRT-1692,Afghani_#1_x_Skunk_#1,1,,Afghan Skunk,https://www.leafly.com/indica/afghan-skunk,Afghan Skunk
Phylos 2016,SRP092005,SAMN05938284,SRS1758555,SRR4448815,GENOMIC,PAIRED,0,58,CRT-1700_Afghanistan_Kyber_Pass,CRT-1700,Afghanistan_Kyber_Pass,1,,Landrace,-,Landrace
Phylos 2016,SRP092005,SAMN05937728,SRS1757955,SRR4448216,GENOMIC,PAIRED,0,83,28255f6b0798-TSCA_Afghoo,28255f6b0798-TSCA,Afghoo,1,,Afgoo,https://www.leafly.com/indica/afgoo,Afgoo
Phylos 2016,SRP092005,SAMN05937878,SRS1758129,SRR4448390,GENOMIC,PAIRED,0,116,6bcff5864ed5-TSCA_Afgoo,6bcff5864ed5-TSCA,Afgoo,1,,Afgoo,https://www.leafly.com/indica/afgoo,Afgoo
Phylos 2016,SRP092005,SAMN05937996,SRS1758274,SRR4448536,GENOMIC,PAIRED,0,81,98f3674826dc-TSCA_Afgoo,98f3674826dc-TSCA,Afgoo,1,,Afgoo,https://www.leafly.com/indica/afgoo,Afgoo
Phylos 2016,SRP092005,SAMN05938119,SRS1758429,SRR4448690,GENOMIC,PAIRED,0,205,fb8ee0c45572-TSCA_Afgoo,fb8ee0c45572-TSCA,Afgoo,1,,Afgoo,https://www.leafly.com/indica/afgoo,Afgoo
Phylos 2016,SRP092005,SAMN05938223,SRS1758532,SRR4448793,GENOMIC,PAIRED,0,1327,CRT-1095_Afgoo,CRT-1095,Afgoo,1,,Afgoo,https://www.leafly.com/indica/afgoo,Afgoo
Phylos 2016,SRP092005,SAMN05937965,SRS1758166,SRR4448427,GENOMIC,PAIRED,0,129,8ab8009f33f1-TSCA_Afgooey,8ab8009f33f1-TSCA,Afgooey,1,,Afgooey,https://www.leafly.com/indica/afgooey,Afgooey
Phylos 2016,SRP092005,SAMN05938118,SRS1758428,SRR4448689,GENOMIC,PAIRED,0,166,fb5d5a74cc72-TSCA_Afterglow,fb5d5a74cc72-TSCA,Afterglow,1,,,,Afterglow
Phylos 2016,SRP092005,SAMN05937783,SRS1757926,SRR4448187,GENOMIC,PAIRED,0,91,3cbde82138be-TSCA_Agent_Orange,3cbde82138be-TSCA,Agent_Orange,1,,Agent Orange,https://www.leafly.com/hybrid/agent-orange,Agent Orange
Phylos 2016,SRP092005,SAMN05937811,SRS1758137,SRR4448397,GENOMIC,PAIRED,0,115,45d23ec95af3-TSCA_Agent_Orange,45d23ec95af3-TSCA,Agent_Orange,1,,Agent Orange,https://www.leafly.com/hybrid/agent-orange,Agent Orange
Phylos 2016,SRP092005,SAMN05938221,SRS1758531,SRR4448791,GENOMIC,PAIRED,0,1030,CRT-1091_Agent_Orange,CRT-1091,Agent_Orange,1,,Agent Orange,https://www.leafly.com/hybrid/agent-orange,Agent Orange
Phylos 2016,SRP092005,SAMN05938214,SRS1758484,SRR4448745,GENOMIC,PAIRED,0,1132,CRT-1081_Agent_Orange_x_501OG,CRT-1081,Agent_Orange_x_501OG,1,,-,-,-
Phylos 2016,SRP092005,SAMN05938215,SRS1758524,SRR4448785,GENOMIC,PAIRED,0,2680,CRT-1082_Agent_Orange_x_501OG,CRT-1082,Agent_Orange_x_501OG,1,,-,-,-
Phylos 2016,SRP092005,SAMN05938290,SRS1758556,SRR4448817,GENOMIC,PAIRED,0,114,CRT-1706_Agent_Orange_x_501OG,CRT-1706,Agent_Orange_x_501OG,1,,-,-,-
Phylos 2016,SRP092005,SAMN05938289,SRS1758557,SRR4448818,GENOMIC,PAIRED,0,163,CRT-1705_Agent_Orange_x_501OG,CRT-1705,Agent_Orange_x_501OG,1,,-,-,-
Phylos 2016,SRP092005,SAMN05938288,SRS1758558,SRR4448819,GENOMIC,PAIRED,0,159,CRT-1704_Agent_Orange_x_501OG,CRT-1704,Agent_Orange_x_501OG,1,,-,-,-
Phylos 2016,SRP092005,SAMN05939380,SRS1759467,SRR4450119,GENOMIC,PAIRED,0,323,PGT-13015_AJ_Sour_Diesel,PGT-13015,AJ_Sour_Diesel,1,,Sour Diesel,https://www.leafly.com/sativa/sour-diesel,Sour Diesel
Courtagen,SRP064442,SAMN04146753,SRS1099982,SRR2559614,GENOMIC,PAIRED,0,115,AK47-2130,AK47_2.1,AK47,1,,AK-47,https://www.leafly.com/hybrid/ak-47,AK-47
Courtagen,SRP064442,SAMN04146753,SRS1099982,SRR2559615,GENOMIC,PAIRED,0,115,AK47-2130,AK47_2.2,AK47,2,,AK-47,https://www.leafly.com/hybrid/ak-47,AK-47
Phylos 2016,SRP092005,SAMN05937933,SRS1758189,SRR4448450,GENOMIC,PAIRED,0,580,7e5cd152e4e9-TSCA_Alaskan_Thunder_Fuck,7e5cd152e4e9-TSCA,Alaskan_Thunder_Fuck,1,,Alaskan Thunder Fuck,https://www.leafly.com/sativa/alaskan-thunder-fuck,Alaskan Thunder Fuck
Courtagen,SRP064442,SAMN04146754,SRS1099975,SRR2559626,GENOMIC,PAIRED,0,319,AlaskanIce-2130,AlaskanIce_2.1,AlaskanIce,1,,Alaskan Ice,https://www.leafly.com/sativa/alaskan-ice,Alaskan Ice
Courtagen,SRP064442,SAMN04146754,SRS1099975,SRR2559627,GENOMIC,PAIRED,0,319,AlaskanIce-2130,AlaskanIce_2.2,AlaskanIce,2,,Alaskan Ice,https://www.leafly.com/sativa/alaskan-ice,Alaskan Ice
Phylos 2016,SRP092005,SAMN05937535,SRS1760377,SRR4451214,GENOMIC,PAIRED,0,64,0a6bb7515593-TSCA_Albert_Walker,0a6bb7515593-TSCA,Albert_Walker,1,,Albert Walker,https://www.leafly.com/hybrid/albert-walker,Albert Walker
Phylos 2016,SRP092005,SAMN05938101,SRS1758410,SRR4448671,GENOMIC,PAIRED,0,158,f57881becd18-TSCA_Alcatraz_OG,f57881becd18-TSCA,Alcatraz_OG,1,,Alcatraz OG,https://cannasos.com/strains/hybrid/alcatraz-og,Alcatraz OG
Phylos 2016,SRP092005,SAMN05937959,SRS1758168,SRR4448429,GENOMIC,PAIRED,0,106,89f4225e8fb4-TSCA_Alien_Daug,89f4225e8fb4-TSCA,Alien_Daug,1,,Alien Dawg,https://www.leafly.com/indica/alien-dawg,Alien Dawg
Phylos 2016,SRP092005,SAMN05937590,SRS1760302,SRR4451139,GENOMIC,PAIRED,0,117,b142f9b602b9-TSCA_Amethyst,b142f9b602b9-TSCA,Amethyst,1,,Amethyst,https://www.leafly.com/hybrid/amethyst,Amethyst
Phylos 2016,SRP092005,SAMN05938041,SRS1758394,SRR4448655,GENOMIC,PAIRED,0,19,d8a86bdf1096-TSCA_Amnesia,d8a86bdf1096-TSCA,Amnesia,1,,Amnesia,https://www.leafly.com/sativa/amnesia,Amnesia
Phylos 2016,SRP092005,SAMN05938163,SRS1758466,SRR4448727,GENOMIC,PAIRED,0,234,PGT-12254-11961_Angola_Fem_2004,PGT-12254-11961,Angola_Fem_2004,1,,Landrace,-,Landrace
Phylos 2016,SRP092005,SAMN05937808,SRS1758142,SRR4448402,GENOMIC,PAIRED,0,196,4568336be7dd-TSCA_Animal_Cookies,4568336be7dd-TSCA,Animal_Cookies,1,,Animal Cookies,https://www.leafly.com/hybrid/animal-cookies,Animal Cookies
Phylos 2016,SRP092005,SAMN05938106,SRS1758405,SRR4448666,GENOMIC,PAIRED,0,95,f7796c701b11-TSCA_Animal_Cookies,f7796c701b11-TSCA,Animal_Cookies,1,,Animal Cookies,https://www.leafly.com/hybrid/animal-cookies,Animal Cookies
Phylos 2016,SRP092005,SAMN05938085,SRS1758450,SRR4448711,GENOMIC,PAIRED,0,154,f07d7d96a833-TSCA_Animal_Cookies,f07d7d96a833-TSCA,Animal_Cookies,1,,Animal Cookies,https://www.leafly.com/hybrid/animal-cookies,Animal Cookies
Phylos 2016,SRP092005,SAMN05938087,SRS1758452,SRR4448713,GENOMIC,PAIRED,0,146,f1b6cf622018-TSCA_Animal_Cookies,f1b6cf622018-TSCA,Animal_Cookies,1,,Animal Cookies,https://www.leafly.com/hybrid/animal-cookies,Animal Cookies
Phylos 2016,SRP092005,SAMN05939367,SRS1759504,SRR4450156,GENOMIC,PAIRED,0,258,PGT-13002_Animal_Cookies,PGT-13002,Animal_Cookies,1,,Animal Cookies,https://www.leafly.com/hybrid/animal-cookies,Animal Cookies
Phylos 2016,SRP092005,SAMN05937988,SRS1758239,SRR4448500,GENOMIC,PAIRED,0,124,93d2586b2d3f-TSCA_Apollo_13,93d2586b2d3f-TSCA,Apollo_13,1,,Apollo 13,https://www.leafly.com/hybrid/apollo-13,Apollo 13
Phylos 2016,SRP092005,SAMN05938039,SRS1758482,SRR4448743,GENOMIC,PAIRED,0,166,d7c4161d423d-TSCA_Apple_Kush,d7c4161d423d-TSCA,Apple_Kush,1,,Apple Kush,https://www.leafly.com/hybrid/apple-kush,Apple Kush
Phylos 2016,SRP092005,SAMN05937592,SRS1760306,SRR4451143,GENOMIC,PAIRED,0,311,b1cadd4a8b6b-TSCA_Atomic_Northern_Lights,b1cadd4a8b6b-TSCA,Atomic_Northern_Lights,1,,Atomic Northern Lights,https://www.leafly.com/hybrid/atomic-northern-lights,Atomic Northern Lights
Courtagen,SRP064442,SAMN04155897,SRS1107951,SRR2584253,GENOMIC,PAIRED,0,378,AustralianBastard-RAD,AustralianBastard_RAD,AustralianBastard,1,,Australian Bastard,,Australian Bastard
Courtagen,SRP064442,SAMN04155897,SRS1107951,SRR2584264,GENOMIC,PAIRED,0,378,AustralianBastard-RAD,AustralianBastard_RAD,AustralianBastard,2,,Australian Bastard,,Australian Bastard
Courtagen,SRP064442,SAMN04155898,SRS1107952,SRR2584275,GENOMIC,PAIRED,0,417,AutoWidow-RAD,AutoWidow_RAD,AutoWidow,1,,White Widow,https://www.leafly.com/hybrid/white-widow,White Widow
Courtagen,SRP064442,SAMN04155898,SRS1107952,SRR2584286,GENOMIC,PAIRED,0,417,AutoWidow-RAD,AutoWidow_RAD,AutoWidow,2,,White Widow,https://www.leafly.com/hybrid/white-widow,White Widow
Phylos 2016,SRP092005,SAMN05937865,SRS1758115,SRR4448376,GENOMIC,PAIRED,0,136,667d73e93ea4-TSCA_Azure_Haze,667d73e93ea4-TSCA,Azure_Haze,1,,Azure Haze,https://www.leafly.com/hybrid/azure-haze,Azure Haze
Phylos 2016,SRP092005,SAMN05937851,SRS1758097,SRR4448358,GENOMIC,PAIRED,0,96,5af4e47278f3-TSCA_Banana_Kush,5af4e47278f3-TSCA,Banana_Kush,1,,Banana Kush,https://www.leafly.com/hybrid/banana-kush,Banana Kush
Phylos 2016,SRP092005,SAMN05937684,SRS1758046,SRR4448308,GENOMIC,PAIRED,0,97,1a30dd173f72-TSCA_Banana_OG,1a30dd173f72-TSCA,Banana_OG,1,,Banana OG,https://www.leafly.com/hybrid/banana-og,Banana OG
Phylos 2016,SRP092005,SAMN05938293,SRS1758559,SRR4448820,GENOMIC,PAIRED,0,192,CRT-1712_Baox,CRT-1712,Baox,1,,BaOx,https://cannasos.com/strains/hybrid/baox,BaOx
Phylos 2016,SRP092005,SAMN05937964,SRS1758173,SRR4448434,GENOMIC,PAIRED,0,168,8ab090de4c22-TSCA_Beaver_Dog,8ab090de4c22-TSCA,Beaver_Dog,1,,Beaver Dawg,https://cannasos.com/strains/hybrid/beaver-dawg,Beaver Dawg
Phylos 2016,SRP092005,SAMN05938071,SRS1758380,SRR4448641,GENOMIC,PAIRED,0,249,e8bcaff7b950-TSCA_Berry_Beard,e8bcaff7b950-TSCA,Berry_Beard,1,,,,Berry_Beard
Phylos 2016,SRP092005,SAMN05938093,SRS1758294,SRR4448555,GENOMIC,PAIRED,0,315,f4021909b06a-TSCA_Berry_Gumboldt_Pollen,f4021909b06a-TSCA,Berry_Gumboldt_Pollen,1,,,,Berry_Gumboldt_Pollen
Phylos 2016,SRP092005,SAMN05937733,SRS1758030,SRR4448291,GENOMIC,PAIRED,0,380,2a55fdf1a6a6-TSCA_Berry_White,2a55fdf1a6a6-TSCA,Berry_White,1,,Berry White,https://www.leafly.com/indica/berry-white,Berry White
Phylos 2016,SRP092005,SAMN05938003,SRS1758231,SRR4448492,GENOMIC,PAIRED,0,216,9ab1e4198b79-TSCA_Berry_White,9ab1e4198b79-TSCA,Berry_White,1,,Berry White,https://www.leafly.com/indica/berry-white,Berry White
Phylos 2016,SRP092005,SAMN05937779,SRS1757953,SRR4448214,GENOMIC,PAIRED,0,109,3b921131df01-TSCA_Big_City_Lights,3b921131df01-TSCA,Big_City_Lights,1,,Big City Lights,https://cannasos.com/strains/hybrid/big-grapefruit,Big City Lights
Phylos 2016,SRP092005,SAMN05937638,SRS1760320,SRR4451157,GENOMIC,PAIRED,0,40,ca119053e404-TSCA_BigBud_x_White_Widow,ca119053e404-TSCA,BigBud_x_White_Widow,1,,-,-,-
Phylos 2016,SRP092005,SAMN05938024,SRS1758298,SRR4448560,GENOMIC,PAIRED,0,129,d220be54396c-TSCA_Black_Berry_Kush,d220be54396c-TSCA,Black_Berry_Kush,1,,Blackberry Kush,https://www.leafly.com/indica/blackberry-kush,Blackberry Kush
Phylos 2016,SRP092005,SAMN05937628,SRS1760282,SRR4451119,GENOMIC,PAIRED,0,112,c4cf3d643055-TSCA_Black_Betty,c4cf3d643055-TSCA,Black_Betty,1,,Black Betty,https://www.leafly.com/hybrid/black-betty,Black Betty
Phylos 2016,SRP092005,SAMN05937726,SRS1757944,SRR4448205,GENOMIC,PAIRED,0,211,27f13e2ff09e-TSCA_Black_Cherry_Soda,27f13e2ff09e-TSCA,Black_Cherry_Soda,1,,Black Cherry Soda,https://www.leafly.com/hybrid/black-cherry-soda,Black Cherry Soda
Phylos 2016,SRP092005,SAMN05937713,SRS1757932,SRR4448193,GENOMIC,PAIRED,0,161,22aa372ef571-TSCA_Black_Haze,22aa372ef571-TSCA,Black_Haze,1,,Black Haze,https://www.leafly.com/hybrid/black-haze,Black Haze
Phylos 2016,SRP092005,SAMN05937994,SRS1758242,SRR4448502,GENOMIC,PAIRED,0,147,98308bc0733b-TSCA_Black_Ice_9R1,98308bc0733b-TSCA,Black_Ice_9R1,1,,Black Ice,https://www.leafly.com/indica/black-ice,Black Ice
Phylos 2016,SRP092005,SAMN05938192,SRS1758344,SRR4448606,GENOMIC,PAIRED,0,345,PGT-12285-12003_Black_Trinity,PGT-12285-12003,Black_Trinity,1,,-,-,-
Phylos 2016,SRP092005,SAMN05938193,SRS1758345,SRR4448605,GENOMIC,PAIRED,0,374,PGT-12286-11989_Black_Trinity,PGT-12286-11989,Black_Trinity,1,,-,-,-
Phylos 2016,SRP092005,SAMN05938191,SRS1758346,SRR4448607,GENOMIC,PAIRED,0,284,PGT-12284-11994_Black_Trinity,PGT-12284-11994,Black_Trinity,1,,-,-,-
Phylos 2016,SRP092005,SAMN05938190,SRS1758347,SRR4448608,GENOMIC,PAIRED,0,408,PGT-12282-11993_Black_Trinity,PGT-12282-11993,Black_Trinity,1,,-,-,-
Phylos 2016,SRP092005,SAMN05938189,SRS1758348,SRR4448609,GENOMIC,PAIRED,0,382,PGT-12281-12006_Black_Trinity,PGT-12281-12006,Black_Trinity,1,,-,-,-
Phylos 2016,SRP092005,SAMN05938188,SRS1758349,SRR4448610,GENOMIC,PAIRED,0,346,PGT-12280-12001_Black_Trinity,PGT-12280-12001,Black_Trinity,1,,-,-,-
Phylos 2016,SRP092005,SAMN05937688,SRS1758039,SRR4448300,GENOMIC,PAIRED,0,212,1bb74af6e1f7-TSCA_Black_Water,1bb74af6e1f7-TSCA,Black_Water,1,,Black Water,https://www.leafly.com/indica/blackwater,Black Water
Phylos 2016,SRP092005,SAMN05937518,SRS1760265,SRR4451102,GENOMIC,PAIRED,0,143,028d8beb3314-TSCA_Black_Widow_#1,028d8beb3314-TSCA,Black_Widow_#1,1,,Black Widow,https://www.leafly.com/hybrid/black-widow,Black Widow
Courtagen,SRP064442,SAMN04145348,SRS1098406,SRR2553737,GENOMIC,PAIRED,0,125,Black84,Black84_1.1,Black84,1,,Black 84,https://www.leafly.com/indica/black-84,Black 84
Courtagen,SRP064442,SAMN04145348,SRS1098406,SRR2553738,GENOMIC,PAIRED,0,124,Black84,Black84_1.2,Black84,2,,Black 84,https://www.leafly.com/indica/black-84,Black 84
Courtagen,SRP064442,SAMN04146755,SRS1099976,SRR2559628,GENOMIC,PAIRED,0,324,Black84-2130,Black8421.1,Black84,1,,Black 84,https://www.leafly.com/indica/black-84,Black 84
Courtagen,SRP064442,SAMN04146755,SRS1099976,SRR2559629,GENOMIC,PAIRED,0,324,Black84-2130,Black84_2.2,Black84,2,,Black 84,https://www.leafly.com/indica/black-84,Black 84
Phylos 2016,SRP092005,SAMN05937596,SRS1760354,SRR4451191,GENOMIC,PAIRED,0,183,b47add24ca82-TSCA_Blackberry_GDP,b47add24ca82-TSCA,Blackberry_GDP,1,,Blackberry GDP,https://cannasos.com/strains/hybrid/blackberry-gdp,Blackberry GDP
Phylos 2016,SRP092005,SAMN05937872,SRS1758123,SRR4448383,GENOMIC,PAIRED,0,152,68a927b85d27-TSCA_Blackberry_Headband,68a927b85d27-TSCA,Blackberry_Headband,1,,Blackberry Headband,https://cannasos.com/strains/hybrid/blackberry-headband,Blackberry Headband
Phylos 2016,SRP092005,SAMN05937543,SRS1760384,SRR4451222,GENOMIC,PAIRED,0,126,0da387d6c8f5-TSCA_Blackberry_Kush,0da387d6c8f5-TSCA,Blackberry_Kush,1,,Blackberry Kush,https://www.leafly.com/indica/blackberry-kush,Blackberry Kush
